Host Response Rate,Is Superhost,neighbourhood,Neighborhood Group,City,Postal Code,Country,Property Type,Room Type,Accomodates,Bathrooms,Bedrooms,Beds,Square Feet,Price,Guests Included,Min Nights,Reviews,First Review,Last Review,Overall Rating,Accuracy Rating,Cleanliness Rating,Checkin Rating,Communication Rating,Location Rating,Value Rating,Instant Bookable,Business Travel Ready,host_response_time,host_tenure,avg_rating,rating_consistency
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,NeukAlln,NeukAlln,Berlin,12047.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,194.0,36.0,1,2,106,06-12-13,04-28-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,,10.0,0.0
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
100%,t,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961.0,Germany,Apartment,Entire home/apt,5,1.5,1.0,3.0,810.0,60.0,2,90,163,05-28-13,01-08-19,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,3,,9.5,0.5477225575051661
